,mapName,roundNum,tScore,ctScore,endTScore,endCTScore,ctTeam,tTeam,roundEndReason,ctFreezeTimeEndEqVal,ctRoundStartEqVal,ctRoundSpendMoney,ctBuyType,tFreezeTimeEndEqVal,tRoundStartEqVal,tRoundSpendMoney,tBuyType,winningSide,winningTeam,losingTeam
0,de_ancient,1,0,0,0,1,LDLC OL,Team 500,BombDefused,4300,1000,3300,Full Eco,5000,1000,3300,Semi Eco,CT,LDLC OL,Team 500
1,de_ancient,2,0,1,0,2,LDLC OL,Team 500,CTWin,21550,3350,19500,Full Buy,14450,1000,14050,Semi Buy,CT,LDLC OL,Team 500
2,de_ancient,3,0,2,0,3,LDLC OL,Team 500,CTWin,23400,18800,4800,Full Buy,2500,1000,3750,Full Eco,CT,LDLC OL,Team 500
3,de_ancient,4,0,3,1,3,LDLC OL,Team 500,TargetBombed,30700,9950,20950,Full Buy,24400,1000,23600,Full Buy,T,Team 500,LDLC OL
4,de_ancient,5,1,3,2,3,LDLC OL,Team 500,TargetBombed,22950,5400,18550,Full Buy,27250,14750,12500,Full Buy,T,Team 500,LDLC OL
5,de_ancient,6,2,3,3,3,LDLC OL,Team 500,TerroristsWin,8800,8500,0,Semi Eco,27150,14350,12800,Full Buy,T,Team 500,LDLC OL
6,de_ancient,7,3,3,4,3,LDLC OL,Team 500,TargetBombed,23400,1000,23300,Full Buy,27450,11550,16100,Full Buy,T,Team 500,LDLC OL
7,de_ancient,8,4,3,5,3,LDLC OL,Team 500,TargetBombed,11100,9100,2900,Semi Buy,27650,14850,13000,Full Buy,T,Team 500,LDLC OL
8,de_ancient,9,5,3,5,4,LDLC OL,Team 500,BombDefused,28900,4750,24550,Full Buy,27250,10450,17200,Full Buy,CT,LDLC OL,Team 500
9,de_ancient,10,5,4,5,5,LDLC OL,Team 500,CTWin,28950,7300,22050,Full Buy,26850,1000,25850,Full Buy,CT,LDLC OL,Team 500
10,de_ancient,11,5,5,5,6,LDLC OL,Team 500,BombDefused,30050,15400,14850,Full Buy,4950,1000,5600,Full Eco,CT,LDLC OL,Team 500
11,de_ancient,12,5,6,6,6,LDLC OL,Team 500,TerroristsWin,31750,17850,14550,Full Buy,27050,1000,26050,Full Buy,T,Team 500,LDLC OL
12,de_ancient,13,6,6,7,6,LDLC OL,Team 500,TerroristsWin,3700,1000,6350,Full Eco,27050,13000,13850,Full Buy,T,Team 500,LDLC OL
13,de_ancient,14,7,6,7,7,LDLC OL,Team 500,BombDefused,26700,1000,25700,Full Buy,27350,18450,9100,Full Buy,CT,LDLC OL,Team 500
14,de_ancient,15,7,7,7,8,LDLC OL,Team 500,CTWin,32400,16750,16450,Full Buy,26550,1000,25750,Full Buy,CT,LDLC OL,Team 500
15,de_ancient,16,8,7,9,7,Team 500,LDLC OL,TerroristsWin,4250,1000,3250,Full Eco,4700,1000,3300,Full Eco,T,LDLC OL,Team 500
16,de_ancient,17,9,7,10,7,Team 500,LDLC OL,TerroristsWin,1000,1000,300,Full Eco,19200,1650,18000,Semi Buy,T,LDLC OL,Team 500
17,de_ancient,18,10,7,10,8,Team 500,LDLC OL,CTWin,24000,1000,23000,Full Buy,21650,14250,7400,Full Buy,CT,Team 500,LDLC OL
18,de_ancient,19,10,8,11,8,Team 500,LDLC OL,TerroristsWin,29350,17950,11600,Full Buy,3600,1000,3700,Full Eco,T,LDLC OL,Team 500
19,de_ancient,20,11,8,12,8,Team 500,LDLC OL,TerroristsWin,3800,1000,4050,Full Eco,27650,11550,16600,Full Buy,T,LDLC OL,Team 500
20,de_ancient,21,12,8,12,9,Team 500,LDLC OL,BombDefused,15900,1000,23050,Semi Buy,28650,23350,5500,Full Buy,CT,Team 500,LDLC OL
21,de_ancient,22,12,9,13,9,Team 500,LDLC OL,TargetBombed,25950,8150,17800,Full Buy,27250,1000,26750,Full Buy,T,LDLC OL,Team 500
22,de_ancient,23,13,9,14,9,Team 500,LDLC OL,TerroristsWin,23250,10150,13100,Full Buy,27350,5200,22650,Full Buy,T,LDLC OL,Team 500
23,de_ancient,24,14,9,15,9,Team 500,LDLC OL,TerroristsWin,15100,1000,13050,Semi Buy,27450,10750,16900,Full Buy,T,LDLC OL,Team 500
24,de_ancient,25,15,9,16,9,Team 500,LDLC OL,TerroristsWin,15100,1000,14700,Semi Buy,27750,23950,4400,Full Buy,T,LDLC OL,Team 500
25,de_anubis,1,0,0,1,0,LDLC OL,Team 500,TerroristsWin,3750,1000,3400,Full Eco,4200,1000,3400,Full Eco,T,Team 500,LDLC OL
26,de_anubis,2,1,0,2,0,LDLC OL,Team 500,TerroristsWin,10350,1000,9850,Semi Buy,20700,2400,18300,Full Buy,T,Team 500,LDLC OL
27,de_anubis,3,2,0,3,0,LDLC OL,Team 500,TargetBombed,1000,1000,0,Full Eco,24300,10900,13400,Full Buy,T,Team 500,LDLC OL
28,de_anubis,4,3,0,3,1,LDLC OL,Team 500,TargetSaved,29250,4000,25250,Full Buy,25000,9700,15800,Full Buy,CT,LDLC OL,Team 500
29,de_anubis,5,3,1,3,2,LDLC OL,Team 500,CTWin,29650,15350,14300,Full Buy,14950,4900,12150,Semi Buy,CT,LDLC OL,Team 500
30,de_anubis,6,3,2,3,3,LDLC OL,Team 500,BombDefused,31300,18250,13450,Full Buy,1000,1000,1650,Full Eco,CT,LDLC OL,Team 500
31,de_anubis,7,3,3,4,3,LDLC OL,Team 500,TargetBombed,31000,8200,23000,Full Buy,26850,1000,26150,Full Buy,T,Team 500,LDLC OL
32,de_anubis,8,4,3,4,4,LDLC OL,Team 500,CTWin,25850,16100,10050,Full Buy,27350,18150,9700,Full Buy,CT,LDLC OL,Team 500
33,de_anubis,9,4,4,4,5,LDLC OL,Team 500,CTWin,31750,23350,8800,Full Buy,5950,1000,10050,Semi Eco,CT,LDLC OL,Team 500
34,de_anubis,10,4,5,5,5,LDLC OL,Team 500,TargetBombed,32450,24450,8000,Full Buy,21600,1000,21300,Full Buy,T,Team 500,LDLC OL
35,de_anubis,11,5,5,5,6,LDLC OL,Team 500,BombDefused,32350,7650,24700,Full Buy,26850,14600,13200,Full Buy,CT,LDLC OL,Team 500
36,de_anubis,12,5,6,5,7,LDLC OL,Team 500,CTWin,32700,15050,17650,Full Buy,17450,1000,17450,Semi Buy,CT,LDLC OL,Team 500
37,de_anubis,13,5,7,5,8,LDLC OL,Team 500,BombDefused,33750,30800,3350,Full Buy,4200,1000,5300,Full Eco,CT,LDLC OL,Team 500
38,de_anubis,14,5,8,5,9,LDLC OL,Team 500,CTWin,34500,13800,21100,Full Buy,27250,1000,26250,Full Buy,CT,LDLC OL,Team 500
39,de_anubis,15,5,9,6,9,LDLC OL,Team 500,TerroristsWin,32550,25100,13100,Full Buy,21550,1000,20250,Full Buy,T,Team 500,LDLC OL
40,de_anubis,16,9,6,10,6,Team 500,LDLC OL,TerroristsWin,3600,1000,3250,Full Eco,4200,1000,3400,Full Eco,T,LDLC OL,Team 500
41,de_anubis,17,10,6,11,6,Team 500,LDLC OL,TargetBombed,11350,1000,10950,Semi Buy,19150,1650,18250,Semi Buy,T,LDLC OL,Team 500
42,de_anubis,18,11,6,12,6,Team 500,LDLC OL,TargetBombed,8250,7650,1850,Semi Eco,21950,16050,6100,Full Buy,T,LDLC OL,Team 500
43,de_anubis,19,12,6,13,6,Team 500,LDLC OL,TerroristsWin,27500,7200,22000,Full Buy,23400,14000,9600,Full Buy,T,LDLC OL,Team 500
44,de_anubis,20,13,6,13,7,Team 500,LDLC OL,CTWin,6700,1000,10400,Semi Eco,27850,11550,16800,Full Buy,CT,Team 500,LDLC OL
45,de_anubis,21,13,7,14,7,Team 500,LDLC OL,TargetBombed,31550,12550,19000,Full Buy,26950,1000,26150,Full Buy,T,LDLC OL,Team 500
46,de_anubis,22,14,7,15,7,Team 500,LDLC OL,TargetBombed,32200,13550,18650,Full Buy,27150,14250,12900,Full Buy,T,LDLC OL,Team 500
47,de_anubis,23,15,7,15,8,Team 500,LDLC OL,CTWin,29300,7550,21950,Full Buy,27350,18850,8500,Full Buy,CT,Team 500,LDLC OL
48,de_anubis,24,15,8,16,8,Team 500,LDLC OL,TerroristsWin,24950,7450,17700,Full Buy,27050,1000,26050,Full Buy,T,LDLC OL,Team 500
49,de_inferno,1,0,0,0,1,1WIN,Aurora,BombDefused,4850,1000,3550,Full Eco,4350,1000,3350,Full Eco,CT,1WIN,Aurora
50,de_inferno,2,0,1,1,1,1WIN,Aurora,TargetBombed,21600,2800,19150,Full Buy,15950,1000,15150,Semi Buy,T,Aurora,1WIN
51,de_inferno,3,1,1,2,1,1WIN,Aurora,TargetBombed,17000,9700,7400,Semi Buy,25000,14150,11500,Full Buy,T,Aurora,1WIN
52,de_inferno,4,2,1,3,1,1WIN,Aurora,TargetBombed,12850,12150,900,Semi Buy,25100,20400,4900,Full Buy,T,Aurora,1WIN
53,de_inferno,5,3,1,4,1,1WIN,Aurora,TargetBombed,23450,3500,19950,Full Buy,25700,16900,8800,Full Buy,T,Aurora,1WIN
54,de_inferno,6,4,1,4,2,1WIN,Aurora,CTWin,21550,9000,14150,Full Buy,25800,9100,16700,Full Buy,CT,1WIN,Aurora
